"";"hb_author";"hb_university";"hb_age";"hb_subject";"hb_age_today";"hb_vwl2015_u40_rank";"hb_vwl2015_u40_score";"hb_vwl2015_cr_rank";"hb_vwl2015_cr_score";"hb_vwl2015_lw_rank";"hb_vwl2015_lw_score";"hb_bwl2014_u40_rank";"hb_bwl2014_u40_score";"hb_bwl2014_lw_rank";"hb_bwl2014_lw_score";"hb_bwl2014_cr_rank";"hb_bwl2014_cr_score";"hb_vwl2013_u40_rank";"hb_vwl2013_u40_score";"hb_vwl2013_cr_rank";"hb_vwl2013_cr_score";"hb_vwl2013_lw_rank";"hb_vwl2013_lw_score";"hb_bwl2012_u40_rank";"hb_bwl2012_u40_score";"hb_bwl2012_cr_rank";"hb_bwl2012_cr_score";"hb_bwl2012_lw_rank";"hb_bwl2012_lw_score";"hb_vwl2011_u40_rank";"hb_vwl2011_u40_score";"hb_vwl2011_cr_rank";"hb_vwl2011_cr_score";"hb_vwl2011_lw_rank";"hb_vwl2011_lw_score";"hb_vwl2010_u40_rank";"hb_vwl2010_u40_score";"hb_vwl2010_cr_rank";"hb_vwl2010_cr_score";"hb_vwl2010_lw_rank";"hb_vwl2010_lw_score";"hb_bwl2009_u40_rank";"hb_bwl2009_u40_score";"hb_bwl2009_cr_rank";"hb_bwl2009_cr_score";"hb_bwl2009_lw_rank";"hb_bwl2009_lw_score";"rp_rank";"rp_author";"rp_average_rank_score";"rp_aabs.views_rank";"rp_aabs.views_score";"rp_abs.views_rank";"rp_abs.views_score";"rp_ad.cites_rank";"rp_ad.cites_score";"rp_adown.loads_rank";"rp_adownloads_score";"rp_adsc.cites_rank";"rp_adsc.cites_score";"rp_affiliation";"rp_anb.cites_rank";"rp_anb.cites_score";"rp_anb.pages_rank";"rp_anb.pages_score";"rp_anb.works_rank";"rp_anb.works_score";"rp_asc.cites_rank";"rp_asc.cites_score";"rp_asc.pages_rank";"rp_asc.pages_score";"rp_asc.works_rank";"rp_asc.works_score";"rp_awdsc.cites_rank";"rp_awdsc.cites_score";"rp_awsc.cites_rank";"rp_awsc.cites_score";"rp_awsc.pages_rank";"rp_awsc.pages_score";"rp_awsc.works_rank";"rp_awsc.works_score";"rp_bet.weenn_rank";"rp_between_score";"rp_close_rank";"rp_close_score";"rp_d.cites_rank";"rp_d.cites_score";"rp_dnb.works_rank";"rp_dnb.works_score";"rp_down.loads_rank";"rp_downloads_score";"rp_dsc.cites_rank";"rp_dsc.cites_score";"rp_h.index_rank";"rp_h.index_score";"rp_nb.cites_rank";"rp_nb.cites_score";"rp_nb.pages_rank";"rp_nb.pages_score";"rp_nb.works_rank";"rp_nb.works_score";"rp_ncau.thors_rank";"rp_ncauthors_score";"rp_nep.cites_rank";"rp_nep.cites_score";"rp_rcau.thors_rank";"rp_rcauthors_score";"rp_sc.cites_rank";"rp_sc.cites_score";"rp_sc.pages_rank";"rp_sc.pages_score";"rp_sc.works_rank";"rp_sc.works_score";"rp_stu.dents_rank";"rp_students_score";"rp_wdsc.cites_rank";"rp_wdsc.cites_score";"rp_wsc.cites_rank";"rp_wsc.cites_score";"rp_wsc.pages_rank";"rp_wsc.pages_score";"rp_wsc.works_rank";"rp_wsc.works_score";"gs_id";"gs_author";"gs_affiliation";"gs_total_cites";"gs_h_index";"gs_i_index";"gs_fields";"gs_citation_2015";"gs_citation_2014";"gs_citation_2013";"gs_citation_2012";"gs_citation_2011";"gs_citation_2010";"gs_citation_2009";"gs_citation_2008";"gs_citation_2007";"rp_age_estimated";"age_combined";"subject_fields";"hb_commonscore"
"1803";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;794;"rp_author_889";770,6;3259;NA;2817;NA;1581;138,5;3869;NA;1446;388,6;"Economics Department, University of California-Santa Cruz (UCSC), Santa Cruz, California (USA)";1076;789,75;340;1047,17;1020;83,75;1069;7530,28;249;20388,09;658;1296,36;1363;83,64;910;424,37;219;1084,07;630;72,41;844;7,37;1367;4,73;1629;222,51;1029;100;3691;NA;1486;640,74;859;18;1196;1176;344;1470;1058;142;1195;713;1198;79,26;1174;559,64;1167;11241,3;247;29979,1;754;1822,99;2590;NA;1395;138,81;1021;627,57;212;1605,74;726;102,15;"sjjjZ8kAAAAJ";"gs_author_859";"University of California Santa Cruz";8024;42;83;"economic theory, laboratory experiments, market design, evolutionary game theory";472;632;649;559;518;495;475;466;NA;69;69;"A";NA
"1804";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;795;"rp_author_890";771,11;5759;NA;5276;NA;2417;NA;5499;NA;1999;286,78;"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)";1774;517,08;817;766,41;2338;NA;1332;6146,87;212;21886,9;614;1349,94;1633;71,46;1019;384,09;146;1275,35;472;87,49;2254;3,61;1171;4,7;2428;NA;2643;NA;5866;NA;2050;470,59;1017;17;1708;854;725;1123;1839;109;1810;520;2269;69,25;1689;423,91;1324;10001,79;146;35639,19;478;2357,01;2590;NA;1553;125,94;978;652,97;102;2084,05;371;150,84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;74;NA;NA
"1805";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;796;"rp_author_891";772,21;4320;NA;6244;NA;893;215,43;2654;NA;827;628,36;"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)";632;1186,5;1857;520,83;2315;NA;595;12283,4;265;20075,3;590;1390,11;743;141,49;475;730,5;247;1042,24;536;81,63;4375;NA;1980;4,8;1041;319,95;2983;NA;4422;NA;986;909,93;1188;16;773;1677;2347;NA;3580;NA;847;900;1157;79,33;826;707,48;722;16901,5;416;23439,6;841;1695,84;274;275,31;891;204,06;573;1008,89;353;1262,56;720;103,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1806";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;797;"rp_author_892";772,75;1211;1560,17;1200;2823;4057;NA;2065;307,08;5380;NA;"Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)";2461;NA;1010;697,08;154;171,75;3848;NA;1096;9078,24;700;1240,51;5253;NA;4662;NA;1293;396,73;1172;48,94;46;28,79;181;4,45;3594;NA;80;240;2274;515;4736;NA;2247;12;2351;NA;840;1059;29;453;2731;NA;3162;NA;2663;NA;3727;NA;1012;14280,5;701;1892,08;846;828,22;4994;NA;4604;NA;1258;603,13;1206;72,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73;73;NA;NA
"1807";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;798;"rp_author_893";773;5895;NA;3743;NA;1466;146,69;4450;NA;1196;461,03;"Paris School of Economics, Paris, France";1539;590,25;929;724,33;1357;73;1198;6784,62;285;19566,3;462;1575,42;1058;104,73;1016;384,76;266;1012,87;351;104,52;1933;4,07;1257;4,71;1486;238,84;1414;86;4660;NA;1238;748,12;1017;17;1455;993;657;1169;715;170;1743;535;2739;NA;1684;425,05;1141;11452,8;217;31234;401;2584,96;1113;1101,5;1087;171,43;976;655,27;196;1657,83;253;175,66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52;52;NA;NA
"1808";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;799;"rp_author_894";773,91;1682;1290,08;501;4552;1302;161,99;1423;384,58;841;621,32;"Centre de Recerca en Economia Internacional (CREI), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain";2653;NA;2860;NA;6181;NA;1682;4792,64;260;20201,09;731;1209,26;719;144,08;1563;254,04;608;643,77;522;82,4;7882;NA;4547;NA;921;353,87;5268;NA;432;1355;594;1337,9;1907;13;1952;748;1566;800;1509;120;1516;597;407;88,47;1494;466,15;1309;10118;116;38985,3;385;2629,24;2111;2030,99;512;309,41;1222;531,18;358;1255,44;209;190,46;"ZcpPkegAAAAJ";"gs_author_860";"Finance Department";2795;24;34;"economics and finance";566;738;467;282;185;132;88;96;NA;40;40;NA;NA
"1809";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;800;"rp_author_895";774,28;3706;NA;2982;NA;1083;186,47;3182;NA;750;678,93;"School of Economics, Interdisciplinary Center (IDC), Herzliya, Israel";1031;818;1600;564,03;2396;NA;689;10808,6;352;17809,9;667;1287,33;666;153,75;654;577,89;288;969,29;543;81,03;756;7,91;545;4,58;1284;271;2053;72;2960;NA;884;999,52;624;20;1136;1227;1340;857;1560;118;735;975;807;83,35;680;789,02;782;16101,9;392;24286,9;655;1971,85;1685;1639,66;771;228,32;719;868,05;301;1352,04;526;122,45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67;67;NA;NA
"1810";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;801;"rp_author_896";774,98;1227;1546,33;1473;2465;856;220,65;1431;383,33;680;723,52;"Department of Economics, Boston University, Boston, Massachusetts (USA)";1014;830,83;2127;483,83;1777;63,83;767;10089,2;564;13713,2;376;1749,23;636;159,6;717;533,56;621;636,7;430;92,64;1620;4,67;1706;4,78;872;365,96;1987;73;1663;633;680;1205,51;624;20;1070;1293;2129;682;1860;108;630;1076;361;89,38;603;851,86;800;15867,1;632;18783,2;458;2408,56;1304;1272,77;639;263,82;748;832,3;677;901,48;448;135,75;"zCi4qSIAAAAJ";"gs_author_861";NA;104;4;4;"bacterial genetics";NA;NA;NA;NA;NA;NA;NA;NA;NA;61;61;NA;NA
"1811";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;802;"rp_author_897";776,66;457;2775;594;4189;421;355,86;354;857,08;406;1038,41;"Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)";808;1009,58;8847;NA;8419;NA;758;10145,4;2836;NA;1648;711,99;408;213,51;769;497,94;2408;NA;1358;43,84;3039;NA;7665;NA;351;652,53;8267;NA;520;1226;377;1853,57;1188;16;687;1813;7207;NA;7069;NA;530;1203;185;91,52;556;905,7;680;17685;2168;8407,04;1426;1201,81;2590;NA;400;377,15;730;858,72;1798;465,29;1149;74,6;"9rOAlq4AAAAJ";"gs_author_862";"Harvard University";9561;22;26;"econometrics, causal inference, program evaluation";1378;1632;1235;961;918;756;692;558;NA;48;48;"C";NA
"1812";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;803;"rp_author_898";778,42;162;4538,75;353;5448;1040;191,86;405;804,58;2035;279,33;"Department of Agricultural, Environmental and Development Economics, Ohio State University, Columbus, Ohio (USA)";1235;704,66;100;1522,92;730;98,33;2585;NA;1728;6775,01;3253;NA;2431;NA;3140;NA;3023;NA;5213;NA;526;9,71;943;4,66;1052;317,6;431;141;652;1096;2112;458,07;723;19;1224;1160;72;2254;816;161;1672;553;1758;73,33;1772;403,1;2590;NA;1695;10079,7;3188;NA;2590;NA;2536;NA;3228;NA;3038;NA;5231;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53;53;NA;NA
"1813";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;804;"rp_author_899";779,08;847;1944,5;694;3836;471;327,75;537;694,83;773;667,79;"School of Economics, Finance and Management, University of Bristol, Bristol, United Kingdom";351;1727;1374;609,66;2489;NA;577;12490,5;896;10350,29;1150;917,41;931;117,36;732;524,09;1301;395,69;1431;42,27;1600;4,71;1147;4,7;682;434,46;3236;NA;382;1437;996;903,76;624;20;526;2149;2042;698;2193;99;353;1500;334;89,53;364;1125,28;798;15875,8;1111;13516;1155;1378,77;2590;NA;1184;159,64;957;670,06;1484;538,94;1350;66,84;"r6GlfvkAAAAJ";"gs_author_863";"University of Bristol";9982;30;48;"economic growth, development economics, foreign aid, regional economics";541;733;790;710;803;685;787;742;NA;45;45;"O";NA
"1814";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;806;"rp_author_900";781,28;2484;NA;1924;2080;689;258,04;3184;NA;512;872,73;"Department of Economics, New York University (NYU), New York City, New York (USA)";794;1022,5;1978;503,91;3411;NA;571;12533,5;663;12458,3;767;1173,64;506;186,48;548;654,8;578;656,15;714;66,95;4114;NA;4896;NA;622;460,7;4786;NA;2201;529;453;1599,45;624;20;682;1820;1754;754;2560;NA;689;1011;1375;77,26;666;802,27;493;22575,2;527;20527,4;711;1880,73;1022;1012,77;460;343,38;484;1170,51;466;1095,08;655;108,57;"GtDEmnkAAAAJ";"gs_author_864";"New York University";8320;30;35;NA;726;1009;880;794;785;697;641;505;NA;47;47;NA;NA
"1815";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;807;"rp_author_901";783,68;2993;NA;3008;NA;813;227,92;3192;NA;643;749,48;"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)";716;1082,33;1244;637;1508;69,33;599;12256,7;445;15733,3;564;1425,08;633;160,32;576;637,31;424;801,4;579;77,27;5338;NA;7023;NA;928;351,78;1726;78;3548;NA;682;1204,8;859;18;873;1536;1248;884;2007;104;658;1040;509;87,35;597;857,85;661;18070,5;499;21328,5;712;1880,5;878;868,15;651;260,69;628;948,77;434;1136,2;713;103,66;"sSF8iZoAAAAJ";"gs_author_865";"Boston College";10898;46;92;"labor economics, applied econometrcs";418;591;519;519;532;556;565;592;NA;74;74;"J";NA
"1816";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;808;"rp_author_902";783,84;4296;NA;2537;NA;550;294,25;4154;NA;510;876,25;"Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)";521;1353,42;2029;496;3924;NA;492;14046,4;934;10137,29;1424;794,59;485;191,72;480;721,83;1133;427,14;1647;37,63;1829;4,24;1035;4,68;427;581,37;3336;NA;2603;NA;417;1722,75;723;19;420;2503;1833;737;3020;NA;455;1302;1044;80,47;455;1017,1;411;25920;876;15604,9;1463;1178,16;1237;1220,92;394;379,65;404;1342,11;1143;639,04;1719;56,28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;63;NA;NA
"1817";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;809;"rp_author_903";783,87;287;3396,78;309;5800;897;214,67;1094;448,68;912;584,87;"Laboratorium f¸r experimentelle Wirtschaftsforschung, Wirtschaftswissenschaftlicher Fachbereich, Rheinische Friedrich-Wilhelms-Universit‰t Bonn, Bonn, Germany";662;1142,47;733;803,68;1154;79,41;713;10600,3;1440;7701,82;1269;860,8;872;124,38;656;577,51;1468;369,33;1522;40,13;944;6,88;501;4,57;985;335,27;1159;94;1633;643;994;906,21;455;22;704;1777;618;1206;1194;134;735;975;755;84,28;733;753,35;778;16135;1215;12912,2;1145;1385,36;344;333,13;954;191,84;717;873,36;1178;628,6;1415;64,49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;86;86;NA;NA
"1818";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;810;"rp_author_904";784,69;685;2193,92;526;4444;1001;196,54;526;704,23;1223;453,32;"Dipartimento di Finanza, Universit‡ Commerciale Luigi Bocconi, Milano, Italy, Innocenzo Gasparini Institute for Economic Research (IGIER), Universit‡ Commerciale Luigi Bocconi, Milano, Italy";997;843,16;1526;575,56;1096;81,28;1225;6645,65;953;9986,68;620;1344,39;1342;85,05;1371;292,64;1281;398,94;651;70,86;263;14,29;151;4,43;929;351,77;962;103;353;1482;1102;827,96;624;20;860;1551;1236;888;715;170;618;1087;1678;74,28;641;822,08;1034;12527,4;835;16008,9;535;2197,03;2414;NA;1214;155,37;1176;551,42;1195;622,98;626;111,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;54;NA;NA
"1819";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;811;"rp_author_905";787,56;421;2901,17;551;4325;854;221,14;161;1243;907;586,23;"Department of Economics, Oxford University, Oxford, United Kingdom";672;1128;1682;549,66;1955;60,5;781;9916,68;704;11990;1066;964,85;771;137,1;751;507,83;681;596,92;1218;47,2;3233;NA;3590;NA;931;349,64;2298;68;212;1920;1025;882,89;624;20;751;1711;1516;809;1896;107;972;824;1344;77,33;1016;616,33;885;14298,9;623;18874,7;925;1588,51;513;514,15;939;195,48;905;706,5;630;935,42;1087;77,98;"I4lrb9EAAAAJ";"gs_author_866";"University of Oxford";11102;39;60;"economics, industrial organization, pricing, consumer policy, scholarly communication";668;852;854;904;865;802;819;730;NA;52;52;"A";NA
"1820";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;812;"rp_author_906";788,69;5119;NA;4471;NA;1248;168,22;7387;NA;965;557,86;"Department of Economics, Ohio State University, Columbus, Ohio (USA)";1020;825,16;793;776,5;2301;55,83;789;9849,25;488;14940,3;867;1085,93;927;117,9;741;515,06;425;800,91;976;55,38;798;7,64;1545;4,75;1022;325,44;1316;89;6726;NA;800;1073,51;529;21;867;1544;373;1431;2035;103;990;812;1184;79,28;971;637,07;648;18351,3;245;30049,2;600;2063,34;761;737,48;782;226,26;607;963,52;203;1633,89;679;106,09;"wqpgcCYAAAAJ";"gs_author_867";"Ohio State Univeristy";13072;55;106;NA;675;835;940;835;785;702;897;767;NA;74;74;NA;NA
"1821";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;813;"rp_author_907";789,3;1663;1300,17;1583;2361;952;204,1;1540;369,58;704;709,04;NA;804;1013,75;5532;NA;3144;NA;582;12401,4;2169;5684,08;845;1107,33;699;146,93;626;604,01;2037;281,52;772;63,48;1212;5,74;963;4,67;723;415,51;3441;NA;1532;670;531;1439,11;1188;16;608;1968;3765;NA;2158;100;420;1359;130;92,52;395;1081,69;455;24269,7;1336;12130,6;732;1855,78;302;303,7;533;299,8;473;1197,78;1145;638,32;663;107,83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;57;NA;NA
"1822";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;814;"rp_author_908";791,54;2524;NA;927;3250;1110;183,62;1976;315,41;596;783,15;"Department of Economics, Stanford University, Stanford, California (USA)";1749;524,58;2771;NA;3791;NA;1058;7578,6;756;11413,7;901;1062,22;480;192,47;876;437,97;706;584,48;767;63,7;2591;NA;649;4,6;724;415,35;2983;NA;822;960;389;1799,58;859;18;1228;1158;1494;814;1317;128;909;865;590;86,35;862;687,13;712;17013,3;401;23877;526;2211,63;1089;1082,75;311;440,93;592;979,59;417;1160,96;488;129,66;"67lGH6QAAAAJ";"gs_author_868";NA;4328;30;42;"economics";523;703;573;458;422;388;308;208;NA;45;45;"A";NA
"1823";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;815;"rp_author_909";792,06;1448;1402,83;2119;1959;602;281,77;1093;448,75;440;980,69;"Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)";791;1022,83;4432;NA;2413;NA;613;12101,2;1698;6861,46;871;1082,57;466;195,65;672;563,75;1719;326,36;944;56,36;3183;NA;1926;4,8;521;512,38;2906;NA;1809;600;397;1777,36;529;21;637;1902;3978;NA;2917;NA;376;1442;187;91,5;360;1132,29;495;22446,5;1448;11414;937;1575,71;2590;NA;435;355,32;553;1046,06;1356;573,23;978;84,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49;49;NA;NA
"1824";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;816;"rp_author_910";792,89;486;2709,17;204;6992;793;231,84;500;720,66;585;792,38;"Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)";1658;554,66;3202;NA;2013;59,66;1233;6596,77;1700;6856,96;749;1190,84;573;173,78;1156;346,92;1385;380,22;774;63,23;450;10,7;896;4,65;692;429,89;1765;77;195;2001;535;1429,81;1383;15;1405;1020;2112;685;761;165;1123;746;940;81,56;1066;596,05;1090;11987,6;1421;11575,6;548;2156,96;2590;NA;511;309,64;1024;625,22;1191;623,82;614;112,83;"3T3vX6sAAAAJ";"gs_author_869";NA;4334;32;47;NA;805;1017;791;472;336;267;171;103;NA;42;42;NA;NA
"1825";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;817;"rp_author_911";793,5;21;11660;63;11658;18455;NA;56;2100;16330;NA;NA;19822;NA;25950;NA;2178;57,5;16692;NA;23122;NA;17879;NA;16124;NA;16499;NA;22538;NA;20628;NA;24612;NA;34720;NA;21640;NA;3064;NA;169;2127;19239;NA;20180;NA;22690;NA;27969;NA;5096;NA;21281;NA;25275;NA;20228;NA;19295;NA;24889;NA;20973;NA;2590;NA;18887;NA;19047;NA;24001;NA;23306;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1826";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;818;"rp_author_912";794,71;2284;1056,43;2079;1980;988;198,97;4105;NA;676;726,29;"RAND, Santa Monica, California (USA)";618;1206,92;2422;NA;804;94,03;437;15360,8;563;13720,8;335;1858,62;620;162,86;414;796,48;654;614,84;457;88,89;2408;NA;637;4,6;1220;284,45;773;113;3831;NA;860;1015,98;723;19;830;1588;2884;NA;753;166;918;856;1462;76,29;865;686,46;588;19662,59;870;15675,5;402;2570,98;2590;NA;783;226,18;574;1008,32;1015;693,9;519;123,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;74;NA;NA
"1827";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;819;"rp_author_913";795,38;983;1787,58;649;3963;826;225,38;601;649,08;691;718,16;"Department of Economics, University College London (UCL), London, United Kingdom";1116;766,16;2802;NA;2882;NA;987;8064,15;1306;8206,11;1155;914,41;603;165,83;868;440,68;1104;435,48;1114;50,82;3541;NA;3016;NA;614;462,14;3138;NA;456;1318;519;1458,25;529;21;816;1602;1976;709;1487;121;419;1360;580;86,38;421;1051,57;726;16749,3;1000;14414,4;862;1667,48;256;262,1;483;329,55;687;896,53;962;723,4;868;90,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;50;NA;NA
